time,U_R1,U_R2,U_Rb1,U_Rb2,U_Id1,I_E1,I_E2,I_L1,I_Cb1,I_C1,I_R1,I_R2,I_Rb1,I _Rb2, I_Id1, U_E1, U_E2, U_L1, U_Cb1, U_C1 
9.69933e-06,-0.390838,0.124947,0.637096,0.628795,0.628795,-0.0318548,-0.0322456,0.0322456,8.88852e-09,0.0317298,-0.000390838,0.000124947,0.0318548,6.28795e-07,0.0318541,1,5.85825,5.46741,0.628795,0.124947
9.96147e-06,-0.429056,0.133635,0.665492,0.629929,0.629929,-0.0332746,-0.0337036,0.0337036,8.65007e-09,0.0331409,-0.000429056,0.000133635,0.0332746,6.29929e-07,0.0332739,1,5.99094,5.56188,0.629929,0.133635
1.02236e-05,-0.468085,0.142699,0.694354,0.631033,0.631033,-0.0347177,-0.0351858,0.0351858,8.42183e-09,0.034575,-0.000468085,0.000142699,0.0347177,6.31033e-07,0.034717,1,6.122,5.65391,0.631033,0.142699
1.04858e-05,-0.507922,0.152144,0.723669,0.632108,0.632108,-0.0361835,-0.0366914,0.0366914,8.20312e-09,0.0360313,-0.000507922,0.000152144,0.0361835,6.32108e-07,0.0361828,1,6.2514,5.74348,0.632108,0.152144
1.07479e-05,-0.548558,0.161977,0.753426,0.633156,0.633156,-0.0376713,-0.0382198,0.0382198,7.99332e-09,0.0375093,-0.000548558,0.000161977,0.0376713,6.33156e-07,0.0376706,1,6.3791,5.83054,0.633156,0.161977
1.101e-05,-0.589989,0.172203,0.783609,0.634177,0.634177,-0.0391804,-0.0397704,0.0397704,7.79188e-09,0.0390082,-0.000589989,0.000172203,0.0391804,6.34177e-07,0.0391798,1,6.50508,5.91509,0.634177,0.172203
1.12722e-05,-0.632206,0.182827,0.814207,0.635173,0.635173,-0.0407103,-0.0413425,0.0413425,7.59826e-09,0.0405275,-0.000632206,0.000182827,0.0407103,6.35173e-07,0.0407097,1,6.62929,5.99708,0.635173,0.182827
1.15343e-05,-0.675204,0.193854,0.845205,0.636145,0.636145,-0.0422602,-0.0429355,0.0429355,7.412e-09,0.0420664,-0.000675204,0.000193854,0.0422602,6.36145e-07,0.0422596,1,6.7517,6.07649,0.636145,0.193854
1.17965e-05,-0.718973,0.20529,0.876591,0.637093,0.637093,-0.0438295,-0.0445485,0.0445485,7.23265e-09,0.0436242,-0.000718973,0.00020529,0.0438295,6.37093e-07,0.0438289,1,6.87228,6.1533,0.637093,0.20529
1.20586e-05,-0.763507,0.217139,0.90835,0.638018,0.638018,-0.0454175,-0.046181,0.046181,7.0598e-09,0.0452004,-0.000763507,0.000217139,0.0454175,6.38018e-07,0.0454169,1,6.99099,6.22748,0.638018,0.217139
